# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0133	RG	17:51:22.05	-30:50:30.5	14.284	18.177	3.893	289.64900000	9103.1000	0.065	0.0828	90.00	83.06	0
OGLE-BLG-HB-0134	RG	17:51:22.70	-32:19:34.3	15.324	18.580	3.256	213.47000000	9062.1000	0.017	0.2600	64.00	129.00	1
OGLE-BLG-HB-0135	RG	17:51:24.65	-29:59:53.3	14.927	19.864	4.937	299.25800000	9004.0600	0.047	0.1207	60.80	176.76	1
OGLE-BLG-HB-0136	RG	17:51:30.82	-30:26:22.1	14.891	19.436	4.545	439.34000000	9008.5000	0.023	0.2282	42.83	36.82	1
OGLE-BLG-HB-0137	RG	17:51:32.95	-29:17:00.0	15.831	20.125	4.294	160.65000000	9114.5100	0.028	0.1951	66.50	119.84	1
OGLE-BLG-HB-0138	RG	17:51:35.36	-35:13:14.9	13.351	15.441	2.090	244.44300000	9235.0400	0.061	0.3089	90.00	87.70	1
OGLE-BLG-HB-0139	RG	17:51:41.03	-32:30:54.5	14.911	18.226	3.315	239.16700000	9166.0600	0.027	0.2431	90.00	28.90	1
OGLE-BLG-HB-0140	RG	17:51:44.44	-33:11:30.7	14.135	16.676	2.541	148.72500000	9041.2300	0.021	0.1302	79.50	50.20	1
OGLE-BLG-HB-0141	RG	17:51:48.28	-29:12:11.7	14.899	20.696	5.797	334.15200000	9102.0900	0.075	0.1590	75.08	112.80	1
OGLE-BLG-HB-0142	RG	17:51:48.90	-22:13:24.6	14.984	18.500	3.516	324.80000000	9122.1000	0.047	0.3552	89.60	62.20	1
OGLE-BLG-HB-0143	RG	17:51:49.10	-34:49:34.2	14.771	16.765	1.994	108.65270000	9001.4500	0.034	0.4845	89.90	74.90	1
OGLE-BLG-HB-0144	RG	17:51:52.57	-29:31:01.5	14.398	18.652	4.254	311.66700000	9145.9600	0.114	0.1763	90.00	109.80	0
OGLE-BLG-HB-0145	RG	17:51:53.59	-30:18:31.6	14.311	18.246	3.935	317.84300000	9247.8300	0.024	0.1508	69.60	84.16	1
OGLE-BLG-HB-0146	RG	17:51:53.84	-30:27:32.2	15.242	19.837	4.595	100.45330000	9045.4200	0.075	0.0901	89.99	67.70	0
OGLE-BLG-HB-0147	RG	17:52:00.63	-31:41:57.1	14.060	17.799	3.739	455.52400000	9401.2100	0.076	0.3680	80.40	94.46	1
OGLE-BLG-HB-0148	RG	17:52:01.12	-33:39:02.0	13.920	16.681	2.761	256.26200000	9130.9000	0.033	0.2242	61.10	82.30	1
OGLE-BLG-HB-0149	RG	17:52:04.40	-31:14:06.6	16.146	26.146	10.000	422.76200000	9229.1200	0.134	0.1825	59.90	54.76	0
OGLE-BLG-HB-0150	RG	17:52:06.26	-22:37:55.8	13.110	16.518	3.408	318.22500000	9059.9000	0.057	0.3764	66.40	87.00	1
OGLE-BLG-HB-0151	RG	17:52:06.93	-31:01:53.4	14.511	17.366	2.855	211.46500000	9162.9200	0.027	0.1476	89.90	49.76	1
OGLE-BLG-HB-0152	RG	17:52:08.48	-31:45:19.1	14.260	18.030	3.770	486.73000000	9195.4000	0.025	0.4083	70.80	72.10	1
OGLE-BLG-HB-0153	RG	17:52:08.52	-36:48:47.4	14.035	16.182	2.147	159.96900000	9086.1000	0.036	0.1243	88.90	59.40	1
OGLE-BLG-HB-0154	RG	17:52:09.88	-30:12:50.3	13.662	18.268	4.606	544.28000000	9353.9000	0.172	0.3370	51.82	57.29	0
OGLE-BLG-HB-0155	RG	17:52:10.75	-32:26:46.2	15.021	18.022	3.001	254.32400000	9003.0500	0.029	0.2296	68.70	74.00	1
OGLE-BLG-HB-0156	RG	17:52:13.88	-30:01:23.6	14.727	18.729	4.002	366.59320000	9076.2700	0.048	0.4990	77.48	23.25	1
OGLE-BLG-HB-0157	RG	17:52:15.62	-31:42:01.6	14.286	18.757	4.471	578.58000000	9066.0400	0.085	0.3615	71.14	177.87	1
OGLE-BLG-HB-0158	RG	17:52:19.22	-29:32:46.4	14.600	19.951	5.351	454.69400000	9426.3400	0.161	0.1222	62.53	32.57	0
OGLE-BLG-HB-0159	RG	17:52:23.46	-32:28:13.5	13.657	16.548	2.891	227.77100000	9182.0000	0.039	0.0812	64.70	50.40	1
OGLE-BLG-HB-0160	RG	17:52:25.16	-29:21:54.4	15.018	18.773	3.755	290.54200000	9046.4000	0.039	0.3108	67.41	16.46	1
OGLE-BLG-HB-0161	RG	17:52:25.46	-30:07:03.3	14.284	17.416	3.132	154.24710000	9073.2100	0.029	0.1014	62.90	56.85	1
OGLE-BLG-HB-0162	RG	17:52:30.20	-33:35:41.7	14.020	17.364	3.344	262.30700000	9160.8000	0.036	0.1767	89.50	48.50	1
OGLE-BLG-HB-0163	RG	17:52:37.21	-29:31:24.2	13.677	17.794	4.117	266.12900000	9058.6000	0.062	0.1267	49.47	41.50	1
OGLE-BLG-HB-0164	RG	17:52:38.80	-29:30:08.4	14.483	18.709	4.226	268.07700000	9185.5100	0.068	0.1056	48.76	166.10	1
OGLE-BLG-HB-0165	RG	17:52:43.47	-33:57:03.9	15.854	18.710	2.856	234.98500000	9093.5000	0.027	0.1219	73.00	84.00	1
OGLE-BLG-HB-0166	RG	17:52:46.93	-30:51:47.0	14.926	17.473	2.547	137.59900000	9025.2800	0.019	0.1534	70.90	77.80	1
OGLE-BLG-HB-0167	RG	17:52:50.52	-30:06:35.4	14.713	19.730	5.017	623.58500000	9445.7600	0.283	0.1568	90.00	87.97	0
OGLE-BLG-HB-0168	RG	17:52:50.76	-33:11:09.5	14.476	16.925	2.449	212.60300000	9049.4000	0.015	0.1666	55.30	169.10	1
OGLE-BLG-HB-0169	RG	17:52:55.02	-31:44:08.0	14.353	17.484	3.131	390.43800000	9152.9100	0.082	0.3000	60.22	16.47	1
OGLE-BLG-HB-0170	RG	17:52:55.55	-32:31:49.3	14.807	17.121	2.314	91.66960000	9035.8300	0.020	0.1785	58.50	27.70	1
OGLE-BLG-HB-0171	RG	17:52:58.63	-29:54:00.5	13.957	17.574	3.617	278.53560000	9121.7100	0.072	0.2779	74.48	58.73	1
